PhiDot;Phi;Temp;kf
0.1;0.04;20;458.72
0.1;0.06;20;569.91
0.1;0.08;20;645.10
0.1;0.10;20;699.10
0.1;0.12;20;742.50
0.1;0.14;20;778.03
0.1;0.16;20;807.86
0.1;0.18;20;830.96
0.1;0.20;20;850.33
0.1;0.22;20;867.88
0.1;0.24;20;883.47
0.1;0.26;20;897.65
0.1;0.28;20;909.08
0.1;0.30;20;919.95
0.1;0.32;20;929.40
0.1;0.34;20;938.38
0.1;0.36;20;945.94
0.1;0.38;20;953.02
0.1;0.40;20;959.64
0.1;0.42;20;965.16
0.1;0.44;20;970.18
0.1;0.46;20;974.43
0.1;0.48;20;978.69
0.1;0.50;20;983.25
0.1;0.52;20;987.03
0.1;0.54;20;990.33
0.1;0.56;20;993.82
0.1;0.58;20;996.94
0.1;0.60;20;999.70
0.1;0.62;20;1002.81
0.1;0.64;20;1005.65
0.1;0.66;20;1008.73
0.1;0.68;20;1011.32
0.1;0.70;20;1013.92
1.5;0.04;20;534.49
1.5;0.06;20;618.17
1.5;0.08;20;686.30
1.5;0.10;20;741.59
1.5;0.12;20;784.63
1.5;0.14;20;821.54
1.5;0.16;20;852.79
1.5;0.18;20;880.14
1.5;0.20;20;902.89
1.5;0.22;20;921.79
1.5;0.24;20;939.36
1.5;0.26;20;954.01
1.5;0.28;20;967.62
1.5;0.30;20;979.06
1.5;0.32;20;989.46
1.5;0.34;20;998.44
1.5;0.36;20;1006.59
1.5;0.38;20;1014.37
1.5;0.40;20;1021.25
1.5;0.42;20;1028.35
1.5;0.44;20;1033.87
1.5;0.46;20;1038.44
1.5;0.48;20;1042.53
1.5;0.50;20;1046.79
1.5;0.52;20;1050.40
1.5;0.54;20;1053.41
1.5;0.56;20;1058.14
1.5;0.58;20;1060.50
1.5;0.60;20;1063.14
1.5;0.62;20;1065.50
1.5;0.64;20;1068.54
1.5;0.66;20;1071.16
1.5;0.68;20;1073.27
1.5;0.70;20;1076.35
90;0.04;20;627.13
90;0.06;20;727.86
90;0.08;20;808.33
90;0.10;20;874.37
90;0.12;20;924.64
90;0.14;20;964.97
90;0.16;20;999.44
90;0.18;20;1027.43
90;0.20;20;1052.48
90;0.22;20;1072.28
90;0.24;20;1088.85
90;0.26;20;1101.84
90;0.28;20;1113.90
90;0.30;20;1124.28
90;0.32;20;1134.34
90;0.34;20;1143.12
90;0.36;20;1151.05
90;0.38;20;1158.22
90;0.40;20;1164.90
90;0.42;20;1170.92
90;0.44;20;1175.90
90;0.46;20;1180.66
90;0.48;20;1184.96
90;0.50;20;1188.78
90;0.52;20;1192.09
90;0.54;20;1195.46
90;0.56;20;1198.52
90;0.58;20;1201.19
90;0.60;20;1203.58
90;0.62;20;1206.45
90;0.64;20;1208.83
90;0.66;20;1211.22
90;0.68;20;1213.61
90;0.70;20;1215.28
0.1;0.04;100;463.67
0.1;0.06;100;547.91
0.1;0.08;100;608.85
0.1;0.10;100;659.12
0.1;0.12;100;697.69
0.1;0.14;100;727.89
0.1;0.16;100;753.01
0.1;0.18;100;774.51
0.1;0.20;100;792.23
0.1;0.22;100;808.25
0.1;0.24;100;822.00
0.1;0.26;100;833.84
0.1;0.28;100;844.73
0.1;0.30;100;854.65
0.1;0.32;100;863.14
0.1;0.34;100;871.15
0.1;0.36;100;879.16
0.1;0.38;100;886.77
0.1;0.40;100;893.95
0.1;0.42;100;900.17
0.1;0.44;100;905.92
0.1;0.46;100;911.43
0.1;0.48;100;916.21
0.1;0.50;100;920.76
0.1;0.52;100;924.59
0.1;0.54;100;928.42
0.1;0.56;100;932.73
0.1;0.58;100;936.08
0.1;0.60;100;939.43
0.1;0.62;100;942.79
0.1;0.64;100;945.81
0.1;0.66;100;948.53
0.1;0.68;100;951.77
0.1;0.70;100;954.28
1.5;0.04;100;506.34
1.5;0.06;100;580.68
1.5;0.08;100;637.58
1.5;0.10;100;687.03
1.5;0.12;100;725.46
1.5;0.14;100;756.14
1.5;0.16;100;783.18
1.5;0.18;100;804.94
1.5;0.20;100;823.36
1.5;0.22;100;838.41
1.5;0.24;100;852.17
1.5;0.26;100;864.01
1.5;0.28;100;875.27
1.5;0.30;100;885.29
1.5;0.32;100;894.26
1.5;0.34;100;902.94
1.5;0.36;100;911.18
1.5;0.38;100;918.85
1.5;0.40;100;926.51
1.5;0.42;100;932.88
1.5;0.44;100;938.96
1.5;0.46;100;944.59
1.5;0.48;100;949.72
1.5;0.50;100;954.86
1.5;0.52;100;959.52
1.5;0.54;100;963.85
1.5;0.56;100;967.88
1.5;0.58;100;971.99
1.5;0.60;100;975.35
1.5;0.62;100;978.70
1.5;0.64;100;982.05
1.5;0.66;100;985.40
1.5;0.68;100;988.75
1.5;0.70;100;992.58
90;0.04;100;560.08
90;0.06;100;656.02
90;0.08;100;726.12
90;0.10;100;781.53
