PhiDot;Phi;Temp;kf 
0.1;0.04;20;328.16
0.1;0.06;20;373.91
0.1;0.08;20;413.21
0.1;0.1;20;449.03
0.1;0.12;20;480.61
0.1;0.14;20;508.17
0.1;0.16;20;532.65
0.1;0.18;20;552.92
0.1;0.2;20;570.73
0.1;0.22;20;586.01
0.1;0.24;20;600.34
0.1;0.26;20;612.09
0.1;0.28;20;622.39
0.1;0.3;20;631.45
0.1;0.32;20;639.18
0.1;0.34;20;645.71
0.1;0.36;20;651.42
0.1;0.38;20;656.91
0.1;0.4;20;662.31
0.1;0.42;20;666.99
0.1;0.44;20;670.91
0.1;0.46;20;673.83
0.1;0.48;20;677.44
0.1;0.5;20;679.31
0.1;0.52;20;681.66
0.1;0.54;20;683.04
0.1;0.56;20;684.44
0.1;0.58;20;685.37
0.1;0.6;20;686.24
0.1;0.62;20;687.24
0.1;0.64;20;687.7
0.1;0.66;20;688.85
0.1;0.68;20;689.21
0.1;0.7;20;690.04
1.5;0.04;20;384.15
1.5;0.06;20;439.08
1.5;0.08;20;485.06
1.5;0.1;20;525.47
1.5;0.12;20;558.69
1.5;0.14;20;586.55
1.5;0.16;20;609.63
1.5;0.18;20;628.5
1.5;0.2;20;645.85
1.5;0.22;20;659.95
1.5;0.24;20;673.47
1.5;0.26;20;683.94
1.5;0.28;20;693.86
1.5;0.3;20;702.1
1.5;0.32;20;708.7
1.5;0.34;20;714.76
1.5;0.36;20;721.3
1.5;0.38;20;726.89
1.5;0.4;20;732.03
1.5;0.42;20;737.16
1.5;0.44;20;741.36
1.5;0.46;20;744.62
1.5;0.48;20;747.89
1.5;0.5;20;751.02
1.5;0.52;20;753.02
1.5;0.54;20;755.43
1.5;0.56;20;757.41
1.5;0.58;20;758.62
1.5;0.6;20;760.02
1.5;0.62;20;761.42
1.5;0.64;20;762.35
1.5;0.66;20;763.29
1.5;0.68;20;763.75
1.5;0.7;20;764.68
90;0.04;20;448.28
90;0.06;20;502.51
90;0.08;20;552.67
90;0.1;20;591.86
90;0.12;20;623.84
90;0.14;20;649.82
90;0.16;20;671.68
90;0.18;20;689.62
90;0.2;20;703.97
90;0.22;20;717.34
90;0.24;20;728.52
90;0.26;20;737.62
90;0.28;20;746.12
90;0.3;20;752.55
90;0.32;20;759.09
90;0.34;20;764.22
90;0.36;20;769.4
90;0.38;20;773.71
90;0.4;20;778.21
90;0.42;20;781.01
90;0.44;20;784.28
90;0.46;20;786.73
90;0.48;20;788.95
90;0.5;20;790.35
90;0.52;20;791.28
90;0.54;20;792.68
90;0.56;20;793.14
90;0.58;20;793.61
90;0.6;20;794.08
90;0.62;20;794.08
90;0.64;20;793.76
90;0.66;20;794.08
90;0.68;20;793.61
90;0.7;20;794.08
0.1;0.04;100;309.15
0.1;0.06;100;349.39
0.1;0.08;100;383.97
0.1;0.1;100;414.1
0.1;0.12;100;439.46
0.1;0.14;100;462.81
0.1;0.16;100;484.87
0.1;0.18;100;503.92
0.1;0.2;100;520.86
0.1;0.22;100;535.09
0.1;0.24;100;546.47
0.1;0.26;100;556.88
0.1;0.28;100;566.35
0.1;0.3;100;574.28
0.1;0.32;100;581.99
0.1;0.34;100;588.89
0.1;0.36;100;594.81
0.1;0.38;100;600.5
0.1;0.4;100;605.73
0.1;0.42;100;610.49
0.1;0.44;100;614.77
0.1;0.46;100;618.58
0.1;0.48;100;621.45
0.1;0.5;100;625.13
0.1;0.52;100;627.08
0.1;0.54;100;629.12
0.1;0.56;100;631.8
0.1;0.58;100;633.21
0.1;0.6;100;634.63
0.1;0.62;100;636.51
0.1;0.64;100;638.4
0.1;0.66;100;639.34
0.1;0.68;100;640.28
0.1;0.7;100;641.23
1.5;0.04;100;338.77
1.5;0.06;100;379.32
1.5;0.08;100;414.62
1.5;0.1;100;447.11
1.5;0.12;100;476.93
1.5;0.14;100;503.27
1.5;0.16;100;525.89
1.5;0.18;100;545.41
1.5;0.2;100;562.35
