PhiDot;Phi;Temp;kf
0.1;0.04;20;451.69
0.1;0.06;20;565.16
0.1;0.08;20;639.56
0.1;0.1;20;694.9
0.1;0.12;20;737.81
0.1;0.14;20;774.57
0.1;0.16;20;804.59
0.1;0.18;20;827.31
0.1;0.2;20;845.66
0.1;0.22;20;862.83
0.1;0.24;20;875.72
0.1;0.26;20;887.24
0.1;0.28;20;898.6
0.1;0.3;20;907.89
0.1;0.32;20;916.79
0.1;0.34;20;924
0.1;0.36;20;930.9
0.1;0.38;20;937.5
0.1;0.4;20;942.83
0.1;0.42;20;947.33
0.1;0.44;20;951.63
0.1;0.46;20;955.31
0.1;0.48;20;959.06
0.1;0.5;20;962.35
0.1;0.52;20;965.78
0.1;0.54;20;968.92
0.1;0.56;20;970.8
0.1;0.58;20;973.51
0.1;0.6;20;975.09
0.1;0.62;20;978.31
0.1;0.64;20;979.72
0.1;0.66;20;982.07
0.1;0.68;20;983
0.1;0.7;20;983.94
1.5;0.04;20;556.01
1.5;0.06;20;644.63
1.5;0.08;20;709.2
1.5;0.1;20;761.29
1.5;0.12;20;802.7
1.5;0.14;20;837.27
1.5;0.16;20;866.6
1.5;0.18;20;891.1
1.5;0.2;20;910.5
1.5;0.22;20;926.61
1.5;0.24;20;939.23
1.5;0.26;20;949.56
1.5;0.28;20;957.55
1.5;0.3;20;964.19
1.5;0.32;20;970.24
1.5;0.34;20;976.07
1.5;0.36;20;980.84
1.5;0.38;20;985.27
1.5;0.4;20;988.96
1.5;0.42;20;992.32
1.5;0.44;20;996.08
1.5;0.46;20;998.9
1.5;0.48;20;1001.72
1.5;0.5;20;1005.74
1.5;0.52;20;1009.23
1.5;0.54;20;1012.52
1.5;0.56;20;1015.34
1.5;0.58;20;1018.7
1.5;0.6;20;1021.58
1.5;0.62;20;1024.74
1.5;0.64;20;1027.56
1.5;0.66;20;1030.38
1.5;0.68;20;1033.13
1.5;0.7;20;1035.07
90;0.04;20;641.25
90;0.06;20;749.28
90;0.08;20;815.79
90;0.1;20;864.92
90;0.12;20;904.24
90;0.14;20;933.31
90;0.16;20;955.21
90;0.18;20;971.95
90;0.2;20;986.75
90;0.22;20;998.39
90;0.24;20;1009.02
90;0.26;20;1017.73
90;0.28;20;1026.15
90;0.3;20;1033.53
90;0.32;20;1039.32
90;0.34;20;1045.1
90;0.36;20;1050.11
90;0.38;20;1054.32
90;0.4;20;1057.63
90;0.42;20;1060.45
90;0.44;20;1062.33
90;0.46;20;1064.78
90;0.48;20;1067.02
90;0.5;20;1068.9
90;0.52;20;1070.78
90;0.54;20;1072.19
90;0.56;20;1073.6
90;0.58;20;1075.01
90;0.6;20;1076.89
90;0.62;20;1077.83
90;0.64;20;1078.77
90;0.66;20;1080.18
90;0.68;20;1080.65
90;0.7;20;1081.59
0.1;0.04;100;440.97
0.1;0.06;100;523.62
0.1;0.08;100;583.1
0.1;0.1;100;628.65
0.1;0.12;100;667.39
0.1;0.14;100;697.43
0.1;0.16;100;723.64
0.1;0.18;100;745.07
0.1;0.2;100;764.13
0.1;0.22;100;779.86
0.1;0.24;100;792.74
0.1;0.26;100;804.68
0.1;0.28;100;815.19
0.1;0.3;100;824.75
0.1;0.32;100;833.77
0.1;0.34;100;840.95
0.1;0.36;100;848.49
0.1;0.38;100;854.79
0.1;0.4;100;860.99
0.1;0.42;100;866.05
0.1;0.44;100;871.02
0.1;0.46;100;876.28
0.1;0.48;100;879.82
0.1;0.5;100;884.57
0.1;0.52;100;888.72
0.1;0.54;100;892.07
0.1;0.56;100;895.49
0.1;0.58;100;898.79
0.1;0.6;100;901.67
0.1;0.62;100;904.99
0.1;0.64;100;907.43
0.1;0.66;100;910.69
0.1;0.68;100;913.54
0.1;0.7;100;916.38
1.5;0.04;100;510.58
1.5;0.06;100;588.08
1.5;0.08;100;647.8
1.5;0.1;100;694.33
1.5;0.12;100;731.02
1.5;0.14;100;762.01
1.5;0.16;100;788.22
1.5;0.18;100;810.6
1.5;0.2;100;828.86
1.5;0.22;100;842.66
1.5;0.24;100;855.04
1.5;0.26;100;866.4
1.5;0.28;100;876.47
1.5;0.3;100;884.57
1.5;0.32;100;892.68
1.5;0.34;100;900.3
1.5;0.36;100;906.89
1.5;0.38;100;912.71
1.5;0.4;100;917.81
1.5;0.42;100;922.27
1.5;0.44;100;926.58
1.5;0.46;100;931.36
1.5;0.48;100;934.9
1.5;0.5;100;938.7
1.5;0.52;100;942.5
1.5;0.54;100;945.82
1.5;0.56;100;948.67
1.5;0.58;100;951.05
1.5;0.6;100;954.37
1.5;0.62;100;956.27
1.5;0.64;100;958.71
1.5;0.66;100;961.11
1.5;0.68;100;963.52
1.5;0.7;100;966.71
90;0.04;100;595.7
90;0.06;100;676.32
90;0.08;100;736.94
90;0.1;100;783.12
90;0.12;100;818.86
90;0.14;100;847.47
90;0.16;100;872.73
90;0.18;100;894.16
90;0.2;100;912.27
90;0.22;100;928.35
90;0.24;100;940.6
90;0.26;100;950.1
90;0.28;100;958.17
90;0.3;100;965.29
90;0.32;100;971.49
90;0.34;100;976.69
90;0.36;100;982
90;0.38;100;986.78
90;0.4;100;990.46
90;0.42;100;993.78
90;0.44;100;997.07
90;0.46;100;999.48
90;0.48;100;1002.33
90;0.5;100;1005.17
90;0.52;100;1007.07
90;0.54;100;1008.97
90;0.56;100;1010.87
90;0.58;100;1012.3
90;0.6;100;1013.72
90;0.62;100;1015.15
90;0.64;100;1016.57
90;0.66;100;1018.09
90;0.68;100;1019.07
90;0.7;100;1020.05
0.1;0.04;200;454.84
0.1;0.06;200;521.63
0.1;0.08;200;570.4
0.1;0.1;200;609.26
0.1;0.12;200;639.18
0.1;0.14;200;662.81
0.1;0.16;200;682.21
0.1;0.18;200;696.84
0.1;0.2;200;710.99
0.1;0.22;200;723.67
0.1;0.24;200;735.06
0.1;0.26;200;745.51
0.1;0.28;200;754.99
0.1;0.3;200;764
0.1;0.32;200;771.61
0.1;0.34;200;778.57
0.1;0.36;200;784.95
0.1;0.38;200;790.27
0.1;0.4;200;795.48
0.1;0.42;200;801.03
0.1;0.44;200;805.71
0.1;0.46;200;809.92
0.1;0.48;200;814.6
0.1;0.5;200;818.81
0.1;0.52;200;822.55
0.1;0.54;200;826.76
0.1;0.56;200;830.51
0.1;0.58;200;833.78
0.1;0.6;200;837.06
0.1;0.62;200;840.33
0.1;0.64;200;843.61
0.1;0.66;200;846.64
0.1;0.68;200;850.16
0.1;0.7;200;853.43
1.5;0.04;200;494.61
1.5;0.06;200;563.06
1.5;0.08;200;613.91
1.5;0.1;200;653.44
1.5;0.12;200;682.01
1.5;0.14;200;703.99
1.5;0.16;200;722.95
1.5;0.18;200;740.03
1.5;0.2;200;755.24
1.5;0.22;200;768.2
1.5;0.24;200;780.48
1.5;0.26;200;791.67
1.5;0.28;200;801.31
1.5;0.3;200;810.79
